"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 11 10:18:18 IST 2020","Thu Jun 11 10:18:29 IST 2020","11332","Google Search Page Parallel Test Suite","Google Search Module Parallel Test Suite - thread 2","com.google.gmodule.googlesearch.gsr.GS_GM_TC002_GMGS001_Perform_Google_Search","com.google.gmodule.googlesearch.gsr.GS_GM_TC002_GMGS001_Perform_Google_Search","searchTextAndVerifyResultTest","Perform Google Search","Test Description - Perform Google Search"
"passed","Thu Jun 11 10:19:00 IST 2020","Thu Jun 11 10:19:31 IST 2020","30839","Google Search Page Parallel Test Suite","Google Search Module Parallel Test Suite - thread 2","com.google.gmodule.googlesearch.gsr.GS_GM_TC002_GMGS001_Perform_Google_Search","com.google.gmodule.googlesearch.gsr.GS_GM_TC002_GMGS001_Perform_Google_Search","searchTextAndVerifyResultTest","Perform Google Search","Test Description - Perform Google Search"
"passed","Thu Jun 11 10:20:14 IST 2020","Thu Jun 11 10:20:53 IST 2020","38909","Google Search Page Parallel Test Suite","Google Search Module Parallel Test Suite - thread 1","com.google.gmodule.googlesearch.gsr.GS_GM_TC001_GMGS001_Perform_Google_Search_And_Verify_Result","com.google.gmodule.googlesearch.gsr.GS_GM_TC001_GMGS001_Perform_Google_Search_And_Verify_Result","searchTextAndVerifyResultTest","Perform Google Search And Verify Result","Test Description - Perform Google Search And Verify Result"
"passed","Thu Jun 11 10:18:19 IST 2020","Thu Jun 11 10:19:58 IST 2020","99100","Google Search Page Parallel Test Suite","Google Search Module Parallel Test Suite - thread 1","com.google.gmodule.googlesearch.gsr.GS_GM_TC001_GMGS001_Perform_Google_Search_And_Verify_Result","com.google.gmodule.googlesearch.gsr.GS_GM_TC001_GMGS001_Perform_Google_Search_And_Verify_Result","searchTextAndVerifyResultTest","Perform Google Search And Verify Result","Test Description - Perform Google Search And Verify Result"
